(49344, 8776, 60096)
(49344, 8836, 60096)
(49344, 2146, 60096)
(49344, 32806, 60096)
(49344, 2656, 60096)
(49344, 2704, 60096)
(49344, 8266, 60096)
(49344, 32794, 60096)
(49344, 16936, 60096)
(49344, 16916, 60096)
(49344, 26626, 60096)
(49344, 16406, 60096)
(18504, 26112, 60096)
(18504, 17442, 60096)
(18504, 12480, 60096)
(18504, 36960, 60096)
(18504, 12300, 60096)
(18504, 6180, 60096)
(18504, 32896, 60096)
(18504, 41480, 60096)
(18504, 10880, 60096)
(18504, 680, 60096)
(18504, 35360, 60096)
(18504, 9792, 60096)
(18504, 1122, 60096)
(18504, 45120, 60096)
(18504, 4320, 60096)
(18504, 13320, 60096)
(18504, 7200, 60096)
(18504, 57856, 60096)
(18504, 33792, 60096)
(18504, 11776, 60096)
(18504, 16546, 60096)
(18504, 1152, 60096)
(18504, 1066, 60096)
(18504, 8896, 60096)
(18504, 8716, 60096)
(18504, 12424, 60096)
(18504, 12356, 60096)
(18504, 32866, 60096)
(18504, 2086, 60096)
(18504, 38944, 60096)
(18504, 4196, 60096)
(18504, 3616, 60096)
(18504, 2224, 60096)
(18504, 9226, 60096)
(18504, 40984, 60096)
(18504, 556, 60096)
(18504, 16436, 60096)
(18504, 10246, 60096)
(18504, 24596, 60096)
(3264, 24672, 60096)
(3264, 16962, 60096)
(3264, 26112, 60096)
(3264, 36960, 60096)
(3264, 23040, 60096)
(3264, 6180, 60096)
(3264, 38400, 60096)
(3264, 32776, 60096)
(3264, 41600, 60096)
(3264, 10760, 60096)
(3264, 25632, 60096)
(3264, 17922, 60096)
(3264, 25152, 60096)
(3264, 16482, 60096)
(3264, 41056, 60096)
(3264, 49152, 60096)
(3264, 20576, 60096)
(3264, 586, 60096)
(3264, 16392, 60096)
(3264, 6664, 60096)
(3264, 9256, 60096)
(3264, 6184, 60096)
(3264, 34306, 60096)
(3264, 5636, 60096)
(3264, 42496, 60096)
(3264, 27136, 60096)
(3264, 22016, 60096)
(3264, 39424, 60096)
(3264, 1066, 60096)
(3264, 16546, 60096)
(3264, 8776, 60096)
(3264, 8836, 60096)
(3264, 32866, 60096)
(3264, 2086, 60096)
(3264, 38944, 60096)
(3264, 4196, 60096)
(3264, 42000, 60096)
(3264, 32850, 60096)
(3264, 16530, 60096)
(3264, 8340, 60096)
(33864, 24672, 60096)
(33864, 16962, 60096)
(33864, 17442, 60096)
(33864, 12480, 60096)
(33864, 20490, 60096)
(33864, 12300, 60096)
(33864, 5250, 60096)
(33864, 32776, 60096)
(33864, 10760, 60096)
(33864, 41600, 60096)
(33864, 25632, 60096)
(33864, 17922, 60096)
(33864, 25152, 60096)
(33864, 16482, 60096)
(33864, 32832, 60096)
(33864, 57376, 60096)
(33864, 45184, 60096)
(33864, 72, 60096)
(33864, 16906, 60096)
(33864, 20546, 60096)
(33864, 8236, 60096)
(33864, 13316, 60096)
(33864, 33286, 60096)
(33864, 36994, 60096)
(33864, 11776, 60096)
(33864, 57856, 60096)
(33864, 1186, 60096)
(33864, 16426, 60096)
(33864, 21506, 60096)
(33864, 4234, 60096)
(33864, 8896, 60096)
(33864, 8716, 60096)
(33864, 12424, 60096)
(33864, 12356, 60096)
(33864, 2146, 60096)
(33864, 32806, 60096)
(33864, 3600, 60096)
(33864, 2160, 60096)
(33864, 16440, 60096)
(33864, 540, 60096)
(24672, 23040, 60096)
(24672, 20490, 60096)
(24672, 12300, 60096)
(24672, 6180, 60096)
(24672, 32896, 60096)
